"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","ТИЦКАЯ ФЕДЕРАЦИЯ"
"AccessPermitInner","Access Permit","Право на въезд"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Данная виза дает право временного пребывания на территории независимой Тицкой Федерации"
"AccessPermitInner","NAME","ИМЯ, ФАМИЛИЯ"
"AccessPermitInner","NATIONALITY","ГРАЖДАНСТВО"
"AccessPermitInner","PURPOSE","ЦЕЛЬ ПОЕЗДКИ"
"AccessPermitInner","HEIGHT","РОСТ"
"AccessPermitInner","PHYSICAL APPEARANCE","ОСОБЫЕ ПРИМЕТЫ"
"AccessPermitInner","ID NUMBER","НОМЕР ПАСПОРТА"
"AccessPermitInner","DURATION","СРОК"
"AccessPermitInner","WEIGHT","ВЕС"
"AccessPermitInner","ENTER BY","Въезд до"
"AccessPermitInner","Keep on person","Иметь при себе"
"AccessPermitInner","Ministry of Admission","Министерство въезда"
"AsylumGrantInner","Arstotzka","Тицкая Федерация"
"AsylumGrantInner","GRANT of ASYLUM","ПРАВО НА УБЕЖИЩЕ"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Податель имеет временный статус беженца на всей территории ТФ"
"AsylumGrantInner","NAT","ГР"
"AsylumGrantInner","ID#","№"
"AsylumGrantInner","DOB","Д.Р."
"AsylumGrantInner","HT","РОСТ"
"AsylumGrantInner","WT","ВЕС"
"AsylumGrantInner","Offer expires after","Действительно до"
"AsylumGrantInner","Ministry of Admission","Министерство въезда"
"BizCardInnerFront","ENGINEERING","ENGINEERING"
"BizCardInnerFront","Director","Директор"
"BizCardInnerBack","WE NEED ENGINEERS","НАМ НУЖНЫ ИНЖЕНЕРЫ"
"BizCardInnerBack","WILL BEAT .GOV PAY","ПЛАТИМ БОЛЬШЕ,"
"BizCardInnerBack","CONTACT NOW","ЧЕМ В ГОССЕКТОРЕ"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Человек по имени <span>Дари Лудум</span> обещал нам с сестрой хорошую работу в ТФ."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Я ему не верю. Я боюсь, что он отнимет у меня паспорт и заставит работать в борделе. Сейчас он стоит в очереди."
"BrothelHelpInner","Please do something.","Умоляю, помогите."
"BulletinInnerDiploTut","Diplomat","Дипломат"
"BulletinInnerDiploTut","Verification Procedure","Процедура подтверждения"
"BulletinInnerDiploTut","Verify issuing country","Страна выдачи"
"BulletinInnerDiploTut","Verify identity","Личные данные"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Дипломатический статус в Тицкой Федерации"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","На отсутствие документов можно указать, выделив стол слева и соответствующий пункт инструкции справа"
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Соотнесите пункт инструкции и неверную информацию, чтобы продолжить проверку"
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Соотнесите пункт инструкции с обнаруженными оружием или контрабандой"
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Чтобы задать вопрос, выделите несовпадающие данные в режиме ПРОВЕРКА"
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Touch and drag to fine-tune highlighted selection."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Внимательно проверяйте, какой страной выдан паспорт"
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Министерсво въезда<br>Тицкой Федерации"
"BulletinInnerBoothTut","Inspector's Booth","Место инспектора"
"BulletinInnerBoothTut","Shutter","Ставни"
"BulletinInnerBoothTut","Counter","Стол"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Инструкция<br>Стенограмма<br>Бюллетень<br>Дата и время"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Министерсво въезда<br>Тицкой Федерации"
"BulletinInnerBoothTut2","Inspector's Booth","Место инспектора"
"BulletinInnerBoothTut2","Shutter","Ставни"
"BulletinInnerBoothTut2","Counter","Стол"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Стенограмма<br>
Инструкция<br>
вес"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Бюллетень<br>Дата и время"
"BulletinInnerGunTut","Weapons Protocol","Применение оружия"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","ПРИ СИГНАЛЕ ТРЕВОГИ"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Вставить ключ, открыть доступ к оружию"
"BulletinInnerGunTut","Select gun, aim and fire.","Взять оружие, прицелиться, выстрелить"
"BulletinInnerGunTut","Time is short. Act fast.","Времени будет мало. Действуйте быстро."
"BulletinInnerFilerTut","Passport Confiscation","Изъятие паспорта"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Проверить прописку в районе АЛТАН по лич. карте"
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Бросить паспорт в ящик для изъятых документов"
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Перед задержанием конфискуйте паспорт"
"BulletinInnerCriminals","Ministry of Justice","Министерство юстиции"
"BulletinInnerCriminals","WANTED CRIMINALS","ВЫРВАТЬ ИМ КАДЫК!"
"BulletinInnerNews","NEWS","НОВОСТИ"
"BulletinPagesNote","CHECK ALL<br>PAGES","ПРОСМОТРИТЕ<br>ВСЕ СТРАНИЦЫ"
"CitationInner","M.O.A. CITATION","МВ: ЗАМЕЧАНИЕ"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Дипломатический<br>статус"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Предъявитель является дипломатическим представителем государства, входящего в Совет Наций"
"DiplomaticAuthInner","AGENT","ИМЯ"
"DiplomaticAuthInner","PASSPORT","ПАСПОРТ"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Свободный въезд во все указанные страны Совета Наций"
"DiplomaticAuthInner","This document has no expiry.","Срок действия не ограничен"
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","СОВЕТ НАЦИЙ - СОЮЗ СЕМИ ГОСУДАРСТВ"
"EntryPermitInner","ARSTOTZKA","ТФ"
"EntryPermitInner","Entry Permit","Разрешение на въезд"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Право временного пребывания на территории независимой ТФ предоставляется"
"EntryPermitInner","bearing passport number","номер паспорта"
"EntryPermitInner","Purpose","Цель поездки"
"EntryPermitInner","Duration","Срок"
"EntryPermitInner","Enter by","Въезд до"
"EntryPermitInner","Ministry of Admission","Министерство въезда"
"EntryTicketInner","Arstotzka","ТФ"
"EntryTicketInner","ENTRY TICKET","ПРОПУСК"
"EntryTicketInner","VALID ON","ДАТА"
"EzicNoteInnerOpen","READ QUICKLY","ПРОЧИТАЛ?"
"EzicNoteInnerOpen","RETURN TO MESSENGER","ВЕРНИ ПИСЬМО ОБРАТНО БЛЯ"
"FamilyPhotoInner","HANG ON WALL","НА СТЕНУ"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","ВРУЧИТЬ ПИЗДАБОЛУ"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","НУЖЕН ПАСПОРТ<br> ПИВОВСКА?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Говно!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Дермище!"""
"ForgeryFlyerInnerFront","Fair rates!","Ахуительные цены!"
"ForgeryFlyerInnerFront","No questions asked!","Дохуя вопросов!"
"ForgeryFlyerInnerFront","Fast turnaround!","Изготавливается 2 года!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","Условия на обороте"
"ForgeryFlyerInnerBack","PRICING (EACH)","ЦЕНА (1 шт)"
"ForgeryFlyerInnerBack","Passport *","Паспорт *"
"ForgeryFlyerInnerBack","Entry Ticket","Пропуск"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Клиент предоставляет подлинный паспорт, в него будут внесены изменения"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Работаем на границе ТФ и Пивовска"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Спросить Илью Хазиева"
"GymFlyerInner","Underweight?Weak?Tired?","Мелкий?Слабый?Устаешь?"
"GymFlyerInner","JOIN BEST GYM!","ПИЗ
ДУЙ
НА
ХУЙ"
"GymFlyerInner","GET BIG TOWN","ПОШЕЛ НАХУЙ"
"GymFlyerInner","East Grestin","Восточный Грештин"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","ДОКУМЕНТЫ ОТСУТСТВУЮТ"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Чтобы задать вопрос, перейдите в режим ПРОВЕРКА"
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Подробную инструкцию можно найти на стр. 2 сегодняшнего бюллетеня"
"IdCardInner","ARSTOTZKA IDENTITY CARD","ТФ ЛИЧНАЯ КАРТА"
"IdCardInner","DOB","ДР"
"IdCardInner","HT.","РОСТ"
"IdCardInner","WT.","ВЕС"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","МВ ЛИЧНЫЕ ДАННЫЕ"
"IdentityRecordInner","NAME:","ИМЯ:"
"IdentityRecordInner","ALIAS:","ВТОРОЕ ИМЯ:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Отпечатки пальцев, имя, второе имя должны соответствовать записи"
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","ВНЕШНИЕ<br>ДАННЫЕ"
"IdSupplementInner","HT","РОСТ"
"IdSupplementInner","WT","ВЕС"
"IdSupplementInner","DESCRIPTION","ВНЕШНОСТЬ"
"IdSupplementInner","THUMB","ОТПЕЧАТОК"
"IdSupplementInner","Keep on person","Иметь при себе"
"IdSupplementInner","EXP.","ДО"
"LocketInnerOpen","To Sergiu from your Elisa","Сергиу<br>от Элизы"
"LocketInnerOpen","I Love You Always","дай хуй помацаю"
"LoveSongInner1","YOU","ТЫ"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","ТЫ ЖЖЕШЬ СИЛЬНЕЕ ОГНЯ"
"LoveSongInner2","you","ты"
"LoveSongInner2","OBJECT OF DESIRE","ВЕСЬ МИР ДЛЯ МЕНЯ"
"LoveSongInner3","YOU<br>(AGAIN)","ТЫ<br>СНОВА ТЫ"
"LoveSongInner3","WRAP MY HEART IN WIRE","СЕРДЦЕ ТЕРЗАЕШЬ ПЛЕНЯ"
"LoveSongInner4","ApPROVED","РаЗРЕШИТЬ"
"LoveSongInner4","APPROVE MY VISA","ДАЙ МНЕ ВИЗУ"
"tweak-passport-field-padding-left","2px","1px"
"PassportInnerAntegria","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"PassportInnerAntegria","DOB.","ДР"
"PassportInnerAntegria","SEX","ПОЛ"
"PassportInnerAntegria","ISS.","ВЫД"
"PassportInnerAntegria","EXP.","ДО"
"PassportInnerAntegria","ANTEGRIA","Зумернация"
"tweak-passport-arstotzka-nation","16px","12px"
"PassportInnerArstotzka","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"PassportInnerArstotzka","DOB.","др"
